school_name,borough,building_code,average_math,average_reading,average_writing,percent_tested
Medicine School for of Queens - Campus 305,Queens,Q531,416.0,668.0,356.0,56.5
Law High School of Queens - Campus 306,Queens,Q153,414.0,581.0,515.0,64.0
Arts Preparatory Academy of Staten Island - Campus 307,Staten Island,R425,616.0,416.0,652.0,64.4
Technology High School of Bronx - Campus 308,Bronx,X071,677.0,653.0,461.0,66.5
The Manhattan Preparatory Academy for Mathematics (Bldg 309),Manhattan,M829,,535.0,606.0,69.4
Leadership Institute of Technology of Bronx - Campus 310,Bronx,X105,394.0,753.0,655.0,57.2
The Bronx High School for Technology (Bldg 311),Bronx,X092,486.0,673.0,470.0,75.7
The Bronx School for for Leadership (Bldg 312),Bronx,X422,581.0,508.0,452.0,78.2
The Manhattan Preparatory Academy for Science (Bldg 313),Manhattan,M107,674.0,652.0,434.0,79.6
The Queens Academy for Leadership (Bldg 314),Queens,Q819,773.0,476.0,549.0,78.5
The Bronx Collegiate for Humanities (Bldg 315),Bronx,X873,694.0,453.0,618.0,58.3
The Queens Collegiate for Technology (Bldg 316),Queens,Q196,406.0,,456.0,73.3
The Brooklyn Academy for Global Studies (Bldg 317),Brooklyn,K328,594.0,699.0,597.0,91.6
The Brooklyn High School for Technology (Bldg 318),Brooklyn,K451,656.0,505.0,519.0,70.1
The Staten Island High School for Humanities (Bldg 319),Staten Island,R331,459.0,633.0,606.0,72.2
Mathematics Preparatory Academy of Manhattan - Campus 320,Manhattan,M359,447.0,503.0,702.0,85.2
Mathematics School for of Bronx - Campus 321,Bronx,X042,476.0,367.0,412.0,57.1
Technology High School of Queens - Campus 322,Queens,Q140,633.0,409.0,586.0,56.5
Law High School of Manhattan - Campus 323,Manhattan,M156,569.0,714.0,,89.4
The Queens Collegiate for Arts (Bldg 324),Queens,Q945,728.0,718.0,488.0,77.5
The Bronx Preparatory Academy for Humanities (Bldg 325),Bronx,X786,459.0,364.0,446.0,55.8
The Staten Island Collegiate for Technology (Bldg 326),Staten Island,R389,376.0,468.0,675.0,
The Brooklyn Collegiate for Science (Bldg 327),Brooklyn,K267,615.0,706.0,525.0,43.7
The Manhattan Institute of Technology for Technology (Bldg 328),Manhattan,M740,479.0,519.0,428.0,
Mathematics Collegiate of Bronx - Campus 329,Bronx,X287,525.0,505.0,389.0,56.6
Global Studies Collegiate of Manhattan - Campus 330,Manhattan,M465,615.0,651.0,691.0,58.8
The Brooklyn School for for Mathematics (Bldg 331),Brooklyn,K814,380.0,736.0,728.0,71.5
Arts Collegiate of Staten Island - Campus 332,Staten Island,R709,372.0,758.0,654.0,50.0
Business Preparatory Academy of Staten Island - Campus 333,Staten Island,R175,722.0,537.0,477.0,97.7
Medicine Preparatory Academy of Manhattan - Campus 334,Manhattan,M769,399.0,552.0,452.0,79.2
The Queens High School for Medicine (Bldg 335),Queens,Q755,702.0,668.0,446.0,48.6
The Brooklyn School for for Science (Bldg 336),Brooklyn,K392,615.0,,357.0,64.8
Mathematics Preparatory Academy of Queens - Campus 337,Queens,Q718,737.0,570.0,689.0,77.0
The Queens Collegiate for Science (Bldg 338),Queens,Q482,547.0,,618.0,77.0
Technology Collegiate of Brooklyn - Campus 339,Brooklyn,K927,619.0,642.0,555.0,51.6
Arts Academy of Brooklyn - Campus 340,Brooklyn,K557,540.0,480.0,574.0,99.8
The Bronx Academy for Global Studies (Bldg 341),Bronx,X013,,391.0,684.0,70.1
Global Studies High School of Bronx - Campus 342,Bronx,X338,456.0,528.0,433.0,89.0
Science Collegiate of Brooklyn - Campus 343,Brooklyn,K407,564.0,414.0,,46.9
The Queens School for for Business (Bldg 344),Queens,Q949,509.0,361.0,567.0,94.7
The Manhattan Academy for Technology (Bldg 345),Manhattan,M174,637.0,709.0,743.0,79.1
The Brooklyn Collegiate for Science (Bldg 346),Brooklyn,K267,395.0,573.0,550.0,98.9
Medicine High School of Bronx - Campus 347,Bronx,X175,709.0,524.0,599.0,
Science High School of Bronx - Campus 348,Bronx,X570,578.0,369.0,541.0,62.9
Business Preparatory Academy of Queens - Campus 349,Queens,Q729,770.0,427.0,652.0,59.5
The Staten Island Preparatory Academy for Medicine (Bldg 350),Staten Island,R520,672.0,717.0,655.0,64.3
The Queens Academy for Science (Bldg 351),Queens,Q404,354.0,697.0,556.0,93.7
Technology Preparatory Academy of Bronx - Campus 352,Bronx,X078,571.0,490.0,709.0,66.3
Technology Academy of Manhattan - Campus 353,Manhattan,M633,587.0,607.0,449.0,81.7
Business Academy of Queens - Campus 354,Queens,Q418,499.0,686.0,562.0,71.4
The Brooklyn Academy for Arts (Bldg 355),Brooklyn,K521,378.0,470.0,586.0,84.9
The Staten Island Institute of Technology for Business (Bldg 356),Staten Island,R426,467.0,,608.0,77.5
The Bronx Institute of Technology for Business (Bldg 357),Bronx,X292,493.0,615.0,395.0,80.1
Law Collegiate of Queens - Campus 358,Queens,Q138,374.0,739.0,608.0,57.3
Global Studies School for of Staten Island - Campus 359,Staten Island,R979,394.0,754.0,486.0,63.7
The Manhattan Academy for Science (Bldg 360),Manhattan,M100,566.0,621.0,624.0,68.2
The Staten Island Academy for Science (Bldg 361),Staten Island,R421,395.0,414.0,431.0,81.2
The Staten Island High School for Technology (Bldg 362),Staten Island,R741,437.0,740.0,386.0,48.0
Mathematics High School of Manhattan - Campus 363,Manhattan,M803,539.0,749.0,616.0,93.5
Arts High School of Staten Island - Campus 364,Staten Island,R840,620.0,630.0,606.0,80.6
The Queens Collegiate for Mathematics (Bldg 365),Queens,Q222,498.0,437.0,616.0,99.1
Leadership Preparatory Academy of Staten Island - Campus 366,Staten Island,R718,762.0,667.0,616.0,42.1
The Bronx School for for Leadership (Bldg 367),Bronx,X275,471.0,649.0,413.0,58.6
Medicine High School of Staten Island - Campus 368,Staten Island,R334,673.0,562.0,356.0,
The Staten Island Collegiate for Leadership (Bldg 369),Staten Island,R211,456.0,723.0,446.0,57.5
The Staten Island School for for Medicine (Bldg 370),Staten Island,R610,739.0,418.0,452.0,
Business High School of Staten Island - Campus 371,Staten Island,R036,473.0,488.0,724.0,91.0
Humanities Preparatory Academy of Brooklyn - Campus 372,Brooklyn,K825,460.0,654.0,546.0,94.1
Humanities Institute of Technology of Manhattan - Campus 373,Manhattan,M871,661.0,710.0,630.0,92.9
The Brooklyn Collegiate for Business (Bldg 374),Brooklyn,K596,661.0,489.0,459.0,44.0
Global Studies Institute of Technology of Staten Island - Campus 375,Staten Island,R929,386.0,695.0,594.0,86.5
The Brooklyn Collegiate for Global Studies (Bldg 376),Brooklyn,K723,551.0,448.0,702.0,55.1
The Queens High School for Global Studies (Bldg 377),Queens,Q901,711.0,541.0,722.0,42.6
The Queens High School for Science (Bldg 378),Queens,Q680,742.0,520.0,655.0,46.9
The Bronx Preparatory Academy for Leadership (Bldg 379),Bronx,X413,519.0,598.0,481.0,55.8
Global Studies Collegiate of Manhattan - Campus 380,Manhattan,M898,759.0,427.0,641.0,80.6
The Staten Island Preparatory Academy for Science (Bldg 381),Staten Island,R404,644.0,613.0,582.0,74.3
Arts Collegiate of Manhattan - Campus 382,Manhattan,M068,506.0,,564.0,63.5
The Manhattan High School for Technology (Bldg 383),Manhattan,M731,538.0,507.0,407.0,80.4
The Bronx Academy for Global Studies (Bldg 384),Bronx,X867,746.0,668.0,433.0,59.7
The Brooklyn Preparatory Academy for Law (Bldg 385),Brooklyn,K441,459.0,438.0,727.0,42.6
Technology Institute of Technology of Manhattan - Campus 386,Manhattan,M728,564.0,622.0,612.0,83.1
The Bronx School for for Humanities (Bldg 387),Bronx,X124,747.0,679.0,739.0,81.0
Business Preparatory Academy of Queens - Campus 388,Queens,Q777,381.0,611.0,687.0,54.8
Leadership Institute of Technology of Bronx - Campus 389,Bronx,X620,410.0,721.0,463.0,43.2
Global Studies High School of Bronx - Campus 390,Bronx,X097,429.0,707.0,,
The Brooklyn Institute of Technology for Mathematics (Bldg 391),Brooklyn,K247,529.0,543.0,545.0,53.2
The Queens High School for Mathematics (Bldg 392),Queens,Q726,678.0,,378.0,40.3
The Queens Academy for Global Studies (Bldg 393),Queens,Q712,761.0,500.0,425.0,78.7
Technology Institute of Technology of Brooklyn - Campus 394,Brooklyn,K888,614.0,568.0,429.0,63.4
The Bronx High School for Business (Bldg 395),Bronx,X378,430.0,367.0,724.0,70.9
The Manhattan High School for Leadership (Bldg 396),Manhattan,M817,639.0,577.0,606.0,41.8
Arts Collegiate of Manhattan - Campus 397,Manhattan,M638,442.0,630.0,518.0,56.1
The Queens Collegiate for Business (Bldg 398),Queens,Q870,622.0,639.0,639.0,40.4
Business School for of Staten Island - Campus 399,Staten Island,R668,602.0,475.0,731.0,67.5
Science High School of Brooklyn - Campus 400,Brooklyn,K308,419.0,660.0,598.0,74.0
The Bronx Collegiate for Science (Bldg 401),Bronx,X487,765.0,711.0,526.0,74.8
Science Collegiate of Staten Island - Campus 402,Staten Island,R305,685.0,565.0,733.0,85.3
Science Preparatory Academy of Staten Island - Campus 403,Staten Island,R484,757.0,462.0,470.0,69.0
Technology Academy of Manhattan - Campus 404,Manhattan,M381,474.0,576.0,494.0,44.0
Law Collegiate of Staten Island - Campus 405,Staten Island,R477,660.0,407.0,727.0,77.2
Arts Academy of Staten Island - Campus 406,Staten Island,R520,637.0,569.0,690.0,55.3
Humanities High School of Manhattan - Campus 407,Manhattan,M954,425.0,693.0,541.0,47.3
Science Preparatory Academy of Manhattan - Campus 408,Manhattan,M741,731.0,681.0,561.0,47.9
Leadership High School of Manhattan - Campus 409,Manhattan,M472,506.0,697.0,565.0,75.1
The Bronx School for for Law (Bldg 410),Bronx,X868,360.0,517.0,538.0,78.2
Mathematics School for of Queens - Campus 411,Queens,Q662,472.0,725.0,668.0,63.2
The Brooklyn School for for Humanities (Bldg 412),Brooklyn,K090,399.0,571.0,662.0,68.6
The Staten Island School for for Leadership (Bldg 413),Staten Island,R215,508.0,674.0,666.0,74.5
The Bronx High School for Medicine (Bldg 414),Bronx,X664,534.0,613.0,674.0,96.0
Global Studies Academy of Brooklyn - Campus 415,Brooklyn,K123,463.0,727.0,522.0,46.8
The Staten Island Academy for Technology (Bldg 416),Staten Island,R079,724.0,583.0,644.0,71.7
The Staten Island Preparatory Academy for Mathematics (Bldg 417),Staten Island,R020,381.0,399.0,728.0,52.6
Humanities Academy of Staten Island - Campus 418,Staten Island,R036,636.0,495.0,655.0,61.6
The Staten Island School for for Law (Bldg 419),Staten Island,R216,575.0,365.0,369.0,57.6
Technology Institute of Technology of Staten Island - Campus 420,Staten Island,R692,544.0,693.0,541.0,90.2
Business Preparatory Academy of Staten Island - Campus 421,Staten Island,R584,478.0,747.0,656.0,80.5
Medicine Institute of Technology of Brooklyn - Campus 422,Brooklyn,K422,423.0,560.0,436.0,85.1
The Queens High School for Business (Bldg 423),Queens,Q206,720.0,402.0,625.0,72.4
Leadership Collegiate of Brooklyn - Campus 424,Brooklyn,K404,704.0,438.0,532.0,48.0
Arts School for of Manhattan - Campus 425,Manhattan,M443,592.0,389.0,669.0,94.4
Technology School for of Manhattan - Campus 426,Manhattan,M543,712.0,671.0,437.0,59.1
Law Institute of Technology of Manhattan - Campus 427,Manhattan,M539,735.0,434.0,745.0,61.8
The Manhattan Academy for Medicine (Bldg 428),Manhattan,M323,358.0,686.0,402.0,41.9
The Staten Island Institute of Technology for Medicine (Bldg 429),Staten Island,R040,427.0,542.0,461.0,85.3
The Queens Institute of Technology for Business (Bldg 430),Queens,Q785,,651.0,669.0,75.9
Law Institute of Technology of Queens - Campus 431,Queens,Q481,502.0,611.0,651.0,77.2
Medicine Collegiate of Queens - Campus 432,Queens,Q076,595.0,529.0,699.0,96.2
Medicine Institute of Technology of Brooklyn - Campus 433,Brooklyn,K949,591.0,498.0,719.0,40.5
The Bronx Preparatory Academy for Medicine (Bldg 434),Bronx,X637,,365.0,579.0,68.7
Humanities High School of Staten Island - Campus 435,Staten Island,R969,425.0,476.0,457.0,49.2
The Bronx School for for Science (Bldg 436),Bronx,X956,767.0,622.0,709.0,49.2
Law Collegiate of Bronx - Campus 437,Bronx,X951,523.0,497.0,584.0,55.6
Law Academy of Queens - Campus 438,Queens,Q847,614.0,715.0,605.0,82.1
Leadership Preparatory Academy of Bronx - Campus 439,Bronx,X081,442.0,594.0,574.0,62.5
Humanities Academy of Bronx - Campus 440,Bronx,X705,357.0,722.0,631.0,92.1
The Queens Institute of Technology for Science (Bldg 441),Queens,Q102,379.0,751.0,611.0,68.6
The Brooklyn Collegiate for Medicine (Bldg 442),Brooklyn,K128,467.0,710.0,586.0,48.1
The Bronx High School for Mathematics (Bldg 443),Bronx,X181,686.0,613.0,587.0,99.4
Global Studies High School of Brooklyn - Campus 444,Brooklyn,K150,647.0,,475.0,53.4
Science Preparatory Academy of Staten Island - Campus 445,Staten Island,R153,510.0,397.0,722.0,
The Queens School for for Leadership (Bldg 446),Queens,Q317,567.0,528.0,713.0,87.3
The Staten Island Collegiate for Arts (Bldg 447),Staten Island,R304,767.0,433.0,524.0,61.5
Global Studies Collegiate of Queens - Campus 448,Queens,Q323,430.0,623.0,350.0,40.7
Arts High School of Queens - Campus 449,Queens,Q335,758.0,568.0,701.0,44.1
The Staten Island Academy for Technology (Bldg 450),Staten Island,R557,676.0,606.0,528.0,83.7
Business Collegiate of Staten Island - Campus 451,Staten Island,R773,586.0,375.0,407.0,97.0
The Bronx Academy for Science (Bldg 452),Bronx,X477,592.0,598.0,480.0,47.9
Mathematics School for of Brooklyn - Campus 453,Brooklyn,K246,651.0,394.0,386.0,71.1
Medicine Collegiate of Staten Island - Campus 454,Staten Island,R663,473.0,753.0,,45.8
Technology Academy of Queens - Campus 455,Queens,Q911,654.0,594.0,532.0,
Mathematics Preparatory Academy of Staten Island - Campus 456,Staten Island,R680,416.0,,505.0,70.6
The Manhattan Preparatory Academy for Arts (Bldg 457),Manhattan,M792,460.0,445.0,637.0,88.7
Law School for of Staten Island - Campus 458,Staten Island,R714,618.0,699.0,417.0,92.2
The Bronx School for for Technology (Bldg 459),Bronx,X024,474.0,600.0,600.0,78.1
The Manhattan Academy for Mathematics (Bldg 460),Manhattan,M025,584.0,451.0,647.0,83.9
The Manhattan High School for Business (Bldg 461),Manhattan,M559,759.0,588.0,460.0,68.1
Mathematics School for of Queens - Campus 462,Queens,Q829,609.0,371.0,594.0,43.0
Leadership Institute of Technology of Manhattan - Campus 463,Manhattan,M943,734.0,532.0,471.0,50.3
The Staten Island Academy for Business (Bldg 464),Staten Island,R476,739.0,465.0,621.0,64.9
The Staten Island Collegiate for Arts (Bldg 465),Staten Island,R128,644.0,628.0,557.0,79.8
The Brooklyn School for for Humanities (Bldg 466),Brooklyn,K138,525.0,733.0,359.0,41.4
The Manhattan Collegiate for Mathematics (Bldg 467),Manhattan,M631,507.0,622.0,572.0,87.8
The Bronx Academy for Arts (Bldg 468),Bronx,X204,653.0,725.0,653.0,75.5
The Staten Island Preparatory Academy for Medicine (Bldg 469),Staten Island,R171,740.0,618.0,726.0,71.9
The Staten Island Collegiate for Business (Bldg 470),Staten Island,R973,705.0,426.0,730.0,73.0
The Bronx Academy for Humanities (Bldg 471),Bronx,X756,634.0,504.0,582.0,49.5
Technology Academy of Bronx - Campus 472,Bronx,X889,706.0,386.0,742.0,81.0
Leadership Academy of Manhattan - Campus 473,Manhattan,M809,681.0,379.0,419.0,63.2
The Manhattan Academy for Leadership (Bldg 474),Manhattan,M605,438.0,393.0,367.0,90.2
The Staten Island Institute of Technology for Technology (Bldg 475),Staten Island,R653,556.0,621.0,434.0,91.2
The Queens Institute of Technology for Mathematics (Bldg 476),Queens,Q432,434.0,557.0,415.0,94.5
Law School for of Bronx - Campus 477,Bronx,X964,598.0,,749.0,67.1
Business Academy of Brooklyn - Campus 478,Brooklyn,K165,630.0,518.0,480.0,57.8
The Bronx School for for Arts (Bldg 479),Bronx,X991,671.0,760.0,654.0,69.5
Global Studies Institute of Technology of Queens - Campus 480,Queens,Q020,695.0,607.0,750.0,86.8
The Brooklyn Preparatory Academy for Law (Bldg 481),Brooklyn,K414,686.0,646.0,602.0,40.5
Business High School of Staten Island - Campus 482,Staten Island,R824,467.0,661.0,646.0,85.2
Arts High School of Staten Island - Campus 483,Staten Island,R340,472.0,539.0,548.0,65.5
The Manhattan High School for Medicine (Bldg 484),Manhattan,M799,492.0,608.0,651.0,95.0
Science School for of Manhattan - Campus 485,Manhattan,M376,577.0,679.0,493.0,77.4
The Bronx Institute of Technology for Global Studies (Bldg 486),Bronx,X110,604.0,601.0,494.0,83.2
The Staten Island High School for Business (Bldg 487),Staten Island,R894,511.0,669.0,603.0,66.9
The Queens Institute of Technology for Mathematics (Bldg 488),Queens,Q291,451.0,679.0,394.0,57.2
Arts Academy of Queens - Campus 489,Queens,Q619,407.0,452.0,389.0,96.0
The Bronx Institute of Technology for Mathematics (Bldg 490),Bronx,X551,734.0,569.0,562.0,74.4
Humanities Institute of Technology of Queens - Campus 491,Queens,Q058,423.0,388.0,725.0,78.3
Global Studies High School of Brooklyn - Campus 492,Brooklyn,K605,731.0,456.0,721.0,44.9
Technology Preparatory Academy of Queens - Campus 493,Queens,Q267,448.0,505.0,502.0,41.9
Business School for of Manhattan - Campus 494,Manhattan,M380,478.0,760.0,698.0,51.5
The Brooklyn High School for Mathematics (Bldg 495),Brooklyn,K213,626.0,574.0,379.0,90.5
The Bronx Collegiate for Law (Bldg 496),Bronx,X044,730.0,723.0,587.0,80.6
The Bronx School for for Arts (Bldg 497),Bronx,X924,570.0,455.0,510.0,60.1
The Manhattan High School for Medicine (Bldg 498),Manhattan,M712,426.0,716.0,383.0,57.9
Humanities Academy of Brooklyn - Campus 499,Brooklyn,K520,517.0,507.0,514.0,65.9
The Manhattan Institute of Technology for Arts (Bldg 500),Manhattan,M197,409.0,684.0,369.0,73.3
The Queens Institute of Technology for Technology (Bldg 501),Queens,Q863,746.0,494.0,746.0,81.9
The Bronx Institute of Technology for Mathematics (Bldg 502),Bronx,X855,508.0,430.0,389.0,62.6
The Manhattan Collegiate for Law (Bldg 503),Manhattan,M380,575.0,443.0,361.0,79.0
Medicine School for of Staten Island - Campus 504,Staten Island,R600,559.0,474.0,594.0,54.5
The Bronx School for for Humanities (Bldg 505),Bronx,X048,352.0,435.0,521.0,57.2
The Queens School for for Business (Bldg 506),Queens,Q558,646.0,573.0,444.0,60.5
The Manhattan High School for Science (Bldg 507),Manhattan,M618,699.0,373.0,,46.4
The Manhattan Institute of Technology for Medicine (Bldg 508),Manhattan,M665,422.0,648.0,627.0,63.2
Law Institute of Technology of Brooklyn - Campus 509,Brooklyn,K722,561.0,711.0,738.0,57.1
The Brooklyn High School for Medicine (Bldg 510),Brooklyn,K969,717.0,448.0,725.0,69.8
The Bronx Academy for Law (Bldg 511),Bronx,X651,534.0,426.0,546.0,90.5
The Queens Collegiate for Business (Bldg 512),Queens,Q350,767.0,501.0,382.0,73.7
Global Studies Academy of Brooklyn - Campus 513,Brooklyn,K947,457.0,599.0,436.0,80.4
The Queens High School for Mathematics (Bldg 514),Queens,Q628,593.0,735.0,409.0,80.9
The Queens School for for Global Studies (Bldg 515),Queens,Q143,529.0,374.0,425.0,69.4
The Brooklyn Preparatory Academy for Humanities (Bldg 516),Brooklyn,K185,737.0,738.0,602.0,42.9
Science Institute of Technology of Staten Island - Campus 517,Staten Island,R818,623.0,596.0,588.0,63.0
The Staten Island Academy for Arts (Bldg 518),Staten Island,R860,545.0,722.0,466.0,
Mathematics Institute of Technology of Bronx - Campus 519,Bronx,X969,716.0,403.0,589.0,63.8
The Queens Collegiate for Technology (Bldg 520),Queens,Q217,721.0,,427.0,48.5
Technology Preparatory Academy of Staten Island - Campus 521,Staten Island,R233,421.0,,660.0,
Humanities Academy of Manhattan - Campus 522,Manhattan,M787,413.0,757.0,407.0,91.2
The Brooklyn Collegiate for Global Studies (Bldg 523),Brooklyn,K182,748.0,374.0,620.0,98.8
The Bronx Institute of Technology for Leadership (Bldg 524),Bronx,X599,480.0,650.0,731.0,91.4
The Queens High School for Leadership (Bldg 525),Queens,Q319,567.0,472.0,534.0,43.1
The Brooklyn Collegiate for Law (Bldg 526),Brooklyn,K974,559.0,625.0,705.0,45.7
Arts Preparatory Academy of Queens - Campus 527,Queens,Q062,580.0,538.0,543.0,89.9
The Queens Academy for Technology (Bldg 528),Queens,Q784,366.0,673.0,709.0,48.3
The Bronx Collegiate for Arts (Bldg 529),Bronx,X283,565.0,439.0,,90.6
The Manhattan School for for Mathematics (Bldg 530),Manhattan,M374,702.0,717.0,478.0,98.0
Leadership Preparatory Academy of Bronx - Campus 531,Bronx,X062,545.0,504.0,739.0,58.9
The Manhattan Preparatory Academy for Technology (Bldg 532),Manhattan,M779,642.0,685.0,460.0,89.5
Global Studies Institute of Technology of Bronx - Campus 533,Bronx,X521,657.0,660.0,361.0,81.5
Humanities Academy of Brooklyn - Campus 534,Brooklyn,K437,439.0,632.0,415.0,84.7
Science High School of Staten Island - Campus 535,Staten Island,R156,760.0,,460.0,66.0
Humanities Academy of Manhattan - Campus 536,Manhattan,M335,580.0,609.0,564.0,75.5
Medicine High School of Brooklyn - Campus 537,Brooklyn,K811,742.0,495.0,392.0,
The Queens Institute of Technology for Mathematics (Bldg 538),Queens,Q071,665.0,535.0,441.0,41.6
The Brooklyn Academy for Business (Bldg 539),Brooklyn,K331,360.0,517.0,731.0,66.1
Technology Academy of Queens - Campus 540,Queens,Q866,351.0,687.0,609.0,72.4
The Brooklyn Collegiate for Medicine (Bldg 541),Brooklyn,K535,737.0,551.0,591.0,65.5
The Manhattan Academy for Business (Bldg 542),Manhattan,M713,673.0,510.0,555.0,40.2
Leadership Preparatory Academy of Staten Island - Campus 543,Staten Island,R303,,745.0,442.0,74.5
The Manhattan Preparatory Academy for Technology (Bldg 544),Manhattan,M593,533.0,519.0,607.0,60.0
Humanities Institute of Technology of Manhattan - Campus 545,Manhattan,M966,630.0,622.0,350.0,61.7
The Queens Preparatory Academy for Science (Bldg 546),Queens,Q554,663.0,675.0,687.0,98.7
Global Studies Preparatory Academy of Staten Island - Campus 547,Staten Island,R317,653.0,742.0,435.0,85.0
Humanities Preparatory Academy of Brooklyn - Campus 548,Brooklyn,K230,584.0,530.0,522.0,79.1
Medicine Institute of Technology of Manhattan - Campus 549,Manhattan,M784,775.0,505.0,629.0,66.6
The Staten Island Collegiate for Humanities (Bldg 550),Staten Island,R444,512.0,422.0,376.0,85.8
The Brooklyn Institute of Technology for Science (Bldg 551),Brooklyn,K856,555.0,635.0,699.0,68.9
Law School for of Queens - Campus 552,Queens,Q711,619.0,411.0,722.0,70.4
The Staten Island Collegiate for Humanities (Bldg 553),Staten Island,R846,761.0,752.0,594.0,56.0
Arts High School of Queens - Campus 554,Queens,Q675,734.0,608.0,,46.8
The Brooklyn Academy for Medicine (Bldg 555),Brooklyn,K818,394.0,679.0,575.0,47.8
The Queens School for for Business (Bldg 556),Queens,Q383,690.0,397.0,699.0,64.0
The Queens Institute of Technology for Business (Bldg 557),Queens,Q188,512.0,672.0,629.0,66.0
The Queens Institute of Technology for Medicine (Bldg 558),Queens,Q445,639.0,635.0,455.0,83.1
Mathematics Collegiate of Bronx - Campus 559,Bronx,X463,588.0,672.0,410.0,79.4
Mathematics School for of Bronx - Campus 560,Bronx,X235,719.0,487.0,679.0,
The Staten Island High School for Arts (Bldg 561),Staten Island,R636,716.0,405.0,695.0,74.2
Leadership High School of Brooklyn - Campus 562,Brooklyn,K031,,589.0,,97.6
The Brooklyn Preparatory Academy for Leadership (Bldg 563),Brooklyn,K755,680.0,715.0,545.0,77.9
Leadership High School of Brooklyn - Campus 564,Brooklyn,K565,735.0,729.0,555.0,68.2
Medicine High School of Staten Island - Campus 565,Staten Island,R424,,502.0,716.0,50.3
The Bronx High School for Arts (Bldg 566),Bronx,X352,433.0,603.0,588.0,70.5
Humanities Collegiate of Staten Island - Campus 567,Staten Island,R867,579.0,567.0,488.0,70.6
Medicine Academy of Brooklyn - Campus 568,Brooklyn,K483,431.0,,526.0,54.6
Arts Collegiate of Manhattan - Campus 569,Manhattan,M494,736.0,414.0,600.0,76.0
The Queens Institute of Technology for Science (Bldg 570),Queens,Q836,,459.0,714.0,73.7
Technology School for of Brooklyn - Campus 571,Brooklyn,K280,749.0,709.0,684.0,46.0
Medicine Academy of Brooklyn - Campus 572,Brooklyn,K198,416.0,486.0,595.0,74.8
Arts Academy of Brooklyn - Campus 573,Brooklyn,K039,387.0,620.0,537.0,81.5
Arts Academy of Bronx - Campus 574,Bronx,X843,422.0,504.0,524.0,83.1
The Staten Island Preparatory Academy for Medicine (Bldg 575),Staten Island,R746,445.0,690.0,606.0,71.0
The Staten Island Institute of Technology for Leadership (Bldg 576),Staten Island,R731,373.0,682.0,445.0,50.7
The Staten Island Preparatory Academy for Humanities (Bldg 577),Staten Island,R719,497.0,397.0,641.0,51.6
The Bronx Preparatory Academy for Humanities (Bldg 578),Bronx,X764,560.0,572.0,434.0,94.8
The Staten Island School for for Humanities (Bldg 579),Staten Island,R866,699.0,405.0,623.0,52.8
Leadership Institute of Technology of Queens - Campus 580,Queens,Q464,715.0,430.0,688.0,92.2
The Bronx Preparatory Academy for Science (Bldg 581),Bronx,X722,401.0,575.0,538.0,60.6
Arts High School of Brooklyn - Campus 582,Brooklyn,K044,670.0,466.0,732.0,90.0
Mathematics High School of Staten Island - Campus 583,Staten Island,R500,559.0,673.0,678.0,46.1
Mathematics Preparatory Academy of Staten Island - Campus 584,Staten Island,R091,510.0,503.0,577.0,53.7
The Brooklyn Academy for Business (Bldg 585),Brooklyn,K553,576.0,605.0,,71.3
The Brooklyn Preparatory Academy for Medicine (Bldg 586),Brooklyn,K277,408.0,742.0,750.0,99.8
The Manhattan Collegiate for Mathematics (Bldg 587),Manhattan,M499,495.0,,536.0,92.7
Arts School for of Bronx - Campus 588,Bronx,X201,385.0,638.0,585.0,74.6
Medicine Collegiate of Staten Island - Campus 589,Staten Island,R169,723.0,375.0,378.0,66.9
The Manhattan Institute of Technology for Science (Bldg 590),Manhattan,M721,646.0,388.0,707.0,44.9
Science Institute of Technology of Manhattan - Campus 591,Manhattan,M262,770.0,697.0,443.0,51.6
Arts Institute of Technology of Queens - Campus 592,Queens,Q956,499.0,673.0,580.0,70.6
The Brooklyn Academy for Leadership (Bldg 593),Brooklyn,K804,499.0,442.0,420.0,97.0
Arts Institute of Technology of Manhattan - Campus 594,Manhattan,M620,728.0,706.0,477.0,43.0
Law Academy of Brooklyn - Campus 595,Brooklyn,K847,759.0,407.0,705.0,70.8
The Bronx Institute of Technology for Mathematics (Bldg 596),Bronx,X518,680.0,381.0,363.0,42.3
Global Studies High School of Brooklyn - Campus 597,Brooklyn,K232,625.0,609.0,392.0,57.9
Humanities Preparatory Academy of Queens - Campus 598,Queens,Q062,521.0,700.0,383.0,98.0
The Bronx Preparatory Academy for Business (Bldg 599),Bronx,X065,418.0,528.0,526.0,81.6
Arts School for of Queens - Campus 600,Queens,Q848,733.0,521.0,606.0,98.5
Medicine Collegiate of Queens - Campus 601,Queens,Q319,461.0,687.0,505.0,51.7
Mathematics Collegiate of Manhattan - Campus 602,Manhattan,M502,613.0,,549.0,
The Queens Collegiate for Global Studies (Bldg 603),Queens,Q036,739.0,663.0,473.0,72.9
Science Preparatory Academy of Brooklyn - Campus 604,Brooklyn,K953,574.0,484.0,526.0,97.3
The Bronx Collegiate for Humanities (Bldg 605),Bronx,X033,508.0,387.0,644.0,42.4
Technology Institute of Technology of Brooklyn - Campus 606,Brooklyn,K255,397.0,642.0,596.0,42.6
Business Academy of Staten Island - Campus 607,Staten Island,R664,552.0,737.0,590.0,85.2
Science Academy of Manhattan - Campus 608,Manhattan,M515,367.0,668.0,686.0,80.4
